"Year","Variable","Value","Type"
2003,"RT_Electricity",120859,"Actual"
2003,"Kom_Oil_products",55531,"Actual"
2003,"Kom_Natural_gas",1221,"Actual"
2003,"Kom_Biofuels_and_waste",8748,"Actual"
2003,"Kom_Electricity",65487,"Actual"
2004,"Ind_Coal_and_coal_products",291407,"Actual"
2004,"Ind_Natural_gas",297867,"Actual"
2004,"Ind_Biofuels_and_waste",281942,"Actual"
2004,"Ind_Electricity",138916,"Actual"
2004,"Ind_Oil_and_oil_products",476686,"Actual"
2004,"RT_Oil_products",398701,"Actual"
2004,"RT_Natural_gas",685,"Actual"
2004,"RT_Biofuels_and_waste",464620,"Actual"
2004,"RT_Electricity",137019,"Actual"
2004,"Kom_Oil_products",62057,"Actual"
2004,"Kom_Natural_gas",1221,"Actual"
2004,"Kom_Biofuels_and_waste",8704,"Actual"
2004,"Kom_Electricity",76265,"Actual"
2005,"Ind_Coal_and_coal_products",346333,"Actual"
2005,"Ind_Natural_gas",297867,"Actual"
2005,"Ind_Biofuels_and_waste",262750,"Actual"
2005,"Ind_Electricity",153774,"Actual"
2005,"Ind_Oil_and_oil_products",421087,"Actual"
2005,"RT_Oil_products",379757,"Actual"
2005,"RT_Natural_gas",685,"Actual"
2005,"RT_Biofuels_and_waste",460916,"Actual"
2005,"RT_Electricity",141040,"Actual"
2005,"Kom_Oil_products",58990,"Actual"
2005,"Kom_Natural_gas",1221,"Actual"
2005,"Kom_Biofuels_and_waste",8660,"Actual"
2005,"Kom_Electricity",84769,"Actual"
2006,"Ind_Coal_and_coal_products",468790,"Actual"
2006,"Ind_Natural_gas",540594,"Actual"
2006,"Ind_Biofuels_and_waste",285557,"Actual"
2006,"Ind_Electricity",158137,"Actual"
2006,"Ind_Oil_and_oil_products",393700,"Actual"
2006,"RT_Oil_products",342689,"Actual"
2006,"RT_Natural_gas",737,"Actual"
2006,"RT_Biofuels_and_waste",453348,"Actual"
2006,"RT_Electricity",150440,"Actual"
2006,"Kom_Oil_products",52216,"Actual"
2006,"Kom_Natural_gas",1187,"Actual"
2006,"Kom_Biofuels_and_waste",8620,"Actual"
2006,"Kom_Electricity",91515,"Actual"
2007,"Ind_Coal_and_coal_products",640546,"Actual"
2007,"Ind_Natural_gas",315922,"Actual"
2007,"Ind_Biofuels_and_waste",269473,"Actual"
2007,"Ind_Electricity",165387,"Actual"
2007,"Ind_Oil_and_oil_products",426585,"Actual"
2007,"RT_Oil_products",347913,"Actual"
2007,"RT_Natural_gas",760,"Actual"
2007,"RT_Biofuels_and_waste",442995,"Actual"
2007,"RT_Electricity",162277,"Actual"
2007,"Kom_Oil_products",48231,"Actual"
2007,"Kom_Natural_gas",1578,"Actual"
2007,"Kom_Biofuels_and_waste",8576,"Actual"
2007,"Kom_Electricity",101538,"Actual"
2008,"Ind_Coal_and_coal_products",395004,"Actual"
2008,"Ind_Natural_gas",385885,"Actual"
2008,"Ind_Biofuels_and_waste",270623,"Actual"
2008,"Ind_Electricity",172407,"Actual"
